,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,16,2.58
1,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,16,2.58
2,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,16,2.58
3,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,16,2.58
4,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,16,2.58
5,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,16,2.58
6,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,16,2.58
7,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,16,2.58
8,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,16,2.58
9,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,73,1.5,0.168,41,1.6,-0.009,41,1.6,-0.009,16,2.58
10,41,1.6,-0.009,41,1.6,-0.009,73,1.5,0.168,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,73,1.5,0.168,41,1.6,-0.009,41,1.6,-0.009,16,2.58
11,41,1.6,-0.009,73,1.5,0.168,41,1.6,-0.009,73,1.5,0.168,41,1.6,-0.009,41,1.6,-0.009,73,1.5,0.168,41,1.6,-0.009,41,1.6,-0.009,16,2.58
12,73,1.5,0.168,73,1.5,0.168,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,73,1.5,0.168,73,1.5,0.168,41,1.6,-0.009,41,1.6,-0.009,16,2.58
13,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,41,1.6,-0.009,73,1.5,0.168,16,2.58
14,41,1.6,-0.009,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,41,1.6,-0.009,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,41,1.6,-0.009,16,2.58
15,41,1.6,-0.009,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,41,1.6,-0.009,73,1.5,0.168,16,2.58
16,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,41,1.6,-0.009,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,16,2.58
17,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,40,1.33,0.126,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,16,2.58
18,41,1.6,-0.009,40,1.33,0.126,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,40,1.33,0.126,41,1.6,-0.009,41,1.6,-0.009,16,2.58
19,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,40,1.33,0.126,41,1.6,-0.009,40,1.33,0.126,40,1.33,0.126,16,2.58
20,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,41,1.6,-0.009,41,1.6,-0.009,40,1.33,0.126,16,2.58
21,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,41,1.6,-0.009,40,1.33,0.126,40,1.33,0.126,16,2.58
22,41,1.6,-0.009,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,41,1.6,-0.009,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,41,1.6,-0.009,16,2.58
23,41,1.6,-0.009,40,1.33,0.126,41,1.6,-0.009,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,16,2.58
24,41,1.6,-0.009,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,16,2.58
25,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,40,1.33,0.126,42,2.16,1.997,42,2.16,1.997,16,2.58
26,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,40,1.33,0.126,42,2.16,1.997,40,1.33,0.126,16,2.58
27,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,40,1.33,0.126,42,2.16,1.997,40,1.33,0.126,40,1.33,0.126,16,2.58
28,42,2.16,1.997,40,1.33,0.126,42,2.16,1.997,40,1.33,0.126,40,1.33,0.126,42,2.16,1.997,40,1.33,0.126,42,2.16,1.997,42,2.16,1.997,16,2.58
29,42,2.16,1.997,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,42,2.16,1.997,42,2.16,1.997,40,1.33,0.126,42,2.16,1.997,40,1.33,0.126,16,2.58
30,40,1.33,0.126,40,1.33,0.126,42,2.16,1.997,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,42,2.16,1.997,42,2.16,1.997,16,2.58
31,40,1.33,0.126,40,1.33,0.126,42,2.16,1.997,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,42,2.16,1.997,40,1.33,0.126,16,2.58
32,42,2.16,1.997,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,16,2.58
33,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,72,1.3,0.347,41,1.6,-0.009,41,1.6,-0.009,16,2.58
34,41,1.6,-0.009,41,1.6,-0.009,72,1.3,0.347,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,72,1.3,0.347,41,1.6,-0.009,41,1.6,-0.009,16,2.58
35,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,41,1.6,-0.009,16,2.58
36,41,1.6,-0.009,72,1.3,0.347,41,1.6,-0.009,41,1.6,-0.009,72,1.3,0.347,41,1.6,-0.009,72,1.3,0.347,41,1.6,-0.009,72,1.3,0.347,16,2.58
37,41,1.6,-0.009,41,1.6,-0.009,41,1.6,-0.009,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,41,1.6,-0.009,72,1.3,0.347,16,2.58
38,41,1.6,-0.009,72,1.3,0.347,41,1.6,-0.009,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,41,1.6,-0.009,16,2.58
39,41,1.6,-0.009,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,41,1.6,-0.009,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,16,2.58
40,41,1.6,-0.009,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,16,2.58
41,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,23,1.63,0.277,24,1.66,1.367,24,1.66,1.367,16,2.58
42,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,23,1.63,0.277,24,1.66,1.367,23,1.63,0.277,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,16,2.58
43,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,16,2.58
44,24,1.66,1.367,24,1.66,1.367,23,1.63,0.277,24,1.66,1.367,24,1.66,1.367,23,1.63,0.277,23,1.63,0.277,24,1.66,1.367,23,1.63,0.277,16,2.58
45,24,1.66,1.367,23,1.63,0.277,24,1.66,1.367,23,1.63,0.277,23,1.63,0.277,24,1.66,1.367,23,1.63,0.277,23,1.63,0.277,24,1.66,1.367,16,2.58
46,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,16,2.58
47,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,24,1.66,1.367,23,1.63,0.277,23,1.63,0.277,24,1.66,1.367,23,1.63,0.277,16,2.58
