,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,24,1.66,-20.62122222,24,1.66,-20.62122222,24,1.66,-20.62122222,24,1.66,-20.62122222,24,1.66,-20.62122222,24,1.66,-20.62122222,72,1.3,-22.97733333,24,1.66,-20.62122222,24,1.66,-20.62122222,16,2.58
1,24,1.66,-20.62122222,24,1.66,-20.62122222,24,1.66,-20.62122222,24,1.66,-20.62122222,24,1.66,-20.62122222,72,1.3,-22.97733333,24,1.66,-20.62122222,24,1.66,-20.62122222,72,1.3,-22.97733333,16,2.58
2,24,1.66,-20.62122222,24,1.66,-20.62122222,24,1.66,-20.62122222,24,1.66,-20.62122222,72,1.3,-22.97733333,24,1.66,-20.62122222,72,1.3,-22.97733333,24,1.66,-20.62122222,72,1.3,-22.97733333,16,2.58
3,24,1.66,-20.62122222,24,1.66,-20.62122222,72,1.3,-22.97733333,24,1.66,-20.62122222,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,24,1.66,-20.62122222,24,1.66,-20.62122222,16,2.58
4,24,1.66,-20.62122222,24,1.66,-20.62122222,24,1.66,-20.62122222,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,24,1.66,-20.62122222,72,1.3,-22.97733333,72,1.3,-22.97733333,16,2.58
5,24,1.66,-20.62122222,72,1.3,-22.97733333,24,1.66,-20.62122222,72,1.3,-22.97733333,72,1.3,-22.97733333,24,1.66,-20.62122222,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,16,2.58
6,72,1.3,-22.97733333,72,1.3,-22.97733333,24,1.66,-20.62122222,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,24,1.66,-20.62122222,72,1.3,-22.97733333,16,2.58
7,72,1.3,-22.97733333,72,1.3,-22.97733333,24,1.66,-20.62122222,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,16,2.58
8,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,22,1.54,-20.30333333,42,2.16,-22.78733333,42,2.16,-22.78733333,16,2.58
9,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,22,1.54,-20.30333333,42,2.16,-22.78733333,22,1.54,-20.30333333,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,16,2.58
10,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,22,1.54,-20.30333333,42,2.16,-22.78733333,22,1.54,-20.30333333,42,2.16,-22.78733333,22,1.54,-20.30333333,16,2.58
